x1,y1,x2,y2,step,time,direction
629,629,729,729,159,-0.3583679495,-1
594,594,694,694,160,-0.3420201433,-1
561,561,661,661,161,-0.3255681545,-1
591,591,691,691,162,0.3090169944,1
620,620,720,720,163,0.2923717047,1
647,647,747,747,164,0.2756373558,1
672,672,772,772,165,0.2588190451,1
696,696,796,796,166,0.2419218956,1
718,718,818,818,167,0.2249510543,1
738,738,838,838,168,0.2079116908,1
757,757,857,857,169,0.1908089954,1
774,774,874,874,170,0.1736481777,1
789,789,889,889,171,0.156434465,1
802,802,902,902,172,0.139173101,1
814,814,914,914,173,0.1218693434,1
824,824,924,924,174,0.1045284633,1
832,832,932,932,175,0.0871557428,1
825,825,925,925,176,-0.0697564737,-1
819,819,919,919,177,-0.0523359562,-1
815,815,915,915,178,-0.0348994967,-1
813,813,913,913,179,-0.0174524064,-1
813,813,913,913,180,0,-1
814,814,914,914,181,0.0174524064,-1
817,817,917,917,182,0.0348994967,-1
822,822,922,922,183,0.0523359562,-1
828,828,928,928,184,0.0697564737,-1
836,836,936,936,185,0.0871557428,-1
846,846,946,946,186,0.1045284633,-1
858,858,958,958,187,0.1218693434,-1
844,844,944,944,188,-0.139173101,1
828,828,928,928,189,-0.156434465,1
810,810,910,910,190,-0.1736481777,1
790,790,890,890,191,-0.1908089954,1
769,769,869,869,192,-0.2079116908,1
746,746,846,846,193,-0.2249510543,1
721,721,821,821,194,-0.2419218956,1
695,695,795,795,195,-0.2588190451,1
667,667,767,767,196,-0.2756373558,1
637,637,737,737,197,-0.2923717047,1
606,606,706,706,198,-0.3090169944,1
573,573,673,673,199,-0.3255681545,1
538,538,638,638,200,-0.3420201433,1
502,502,602,602,201,-0.3583679495,1
539,539,639,639,202,0.3746065934,-1
578,578,678,678,203,0.3907311285,-1
618,618,718,718,204,0.4067366431,-1
660,660,760,760,205,0.4226182617,-1
703,703,803,803,206,0.4383711468,-1
748,748,848,848,207,0.4539904997,-1
794,794,894,894,208,0.4694715628,-1
842,842,942,942,209,0.4848096202,-1
892,892,992,992,210,0.5,-1
943,943,1043,1043,211,0.5150380749,-1
995,995,1095,1095,212,0.5299192642,-1
1049,1049,1149,1149,213,0.544639035,-1
993,993,1093,1093,214,-0.5591929035,1
935,935,1035,1035,215,-0.5735764364,1
876,876,976,976,216,-0.5877852523,1
815,815,915,915,217,-0.6018150232,1
753,753,853,853,218,-0.6156614753,1
690,690,790,790,219,-0.629320391,1
625,625,725,725,220,-0.6427876097,1
559,559,659,659,221,-0.656059029,1
492,492,592,592,222,-0.6691306064,1
423,423,523,523,223,-0.6819983601,1
353,353,453,453,224,-0.6946583705,1
282,282,382,382,225,-0.7071067812,1
210,210,310,310,226,-0.7193398003,1
136,136,236,236,227,-0.7313537016,1
210,210,310,310,228,0.7431448255,-1
285,285,385,385,229,0.7547095802,-1
361,361,461,461,230,0.7660444431,-1
438,438,538,538,231,0.7771459615,-1
516,516,616,616,232,0.7880107536,-1
595,595,695,695,233,0.79863551,-1
675,675,775,775,234,0.8090169944,-1
756,756,856,856,235,0.8191520443,-1
838,838,938,938,236,0.8290375726,-1
921,921,1021,1021,237,0.8386705679,-1
1005,1005,1105,1105,238,0.8480480962,-1
1090,1090,1190,1190,239,0.8571673007,-1
1003,1003,1103,1103,240,-0.8660254038,1
915,915,1015,1015,241,-0.8746197071,1
826,826,926,926,242,-0.8829475929,1
736,736,836,836,243,-0.8910065242,1
646,646,746,746,244,-0.8987940463,1
555,555,655,655,245,-0.906307787,1
463,463,563,563,246,-0.9135454576,1
370,370,470,470,247,-0.9205048535,1
277,277,377,377,248,-0.9271838546,1
183,183,283,283,249,-0.9335804265,1
89,89,189,189,250,-0.9396926208,1
183,183,283,283,251,0.9455185756,-1
278,278,378,378,252,0.9510565163,-1
373,373,473,473,253,0.956304756,-1
469,469,569,569,254,0.9612616959,-1
565,565,665,665,255,0.9659258263,-1
662,662,762,762,256,0.9702957263,-1
759,759,859,859,257,0.9743700648,-1
856,856,956,956,258,0.9781476007,-1
954,954,1054,1054,259,0.9816271834,-1
1052,1052,1152,1152,260,0.984807753,-1
1150,1150,1250,1250,261,0.9876883406,-1
1249,1249,1349,1349,262,0.9902680687,-1
1149,1149,1249,1249,263,-0.9925461516,1
1049,1049,1149,1149,264,-0.9945218954,1
949,949,1049,1049,265,-0.9961946981,1
849,849,949,949,266,-0.9975640503,1
749,749,849,849,267,-0.9986295348,1
649,649,749,749,268,-0.999390827,1
549,549,649,649,269,-0.9998476952,1
449,449,549,549,270,-1,1
349,349,449,449,271,-0.9998476952,1
249,249,349,349,272,-0.999390827,1
149,149,249,249,273,-0.9986295348,1
49,49,149,149,274,-0.9975640503,1
148,148,248,248,275,0.9961946981,-1
247,247,347,347,276,0.9945218954,-1
346,346,446,446,277,0.9925461516,-1
445,445,545,545,278,0.9902680687,-1
543,543,643,643,279,0.9876883406,-1
641,641,741,741,280,0.984807753,-1
739,739,839,839,281,0.9816271834,-1
836,836,936,936,282,0.9781476007,-1
933,933,1033,1033,283,0.9743700648,-1
1030,1030,1130,1130,284,0.9702957263,-1
1126,1126,1226,1226,285,0.9659258263,-1
1222,1222,1322,1322,286,0.9612616959,-1
1126,1126,1226,1226,287,-0.956304756,1
1030,1030,1130,1130,288,-0.9510565163,1
935,935,1035,1035,289,-0.9455185756,1
841,841,941,941,290,-0.9396926208,1
747,747,847,847,291,-0.9335804265,1
654,654,754,754,292,-0.9271838546,1
561,561,661,661,293,-0.9205048535,1
469,469,569,569,294,-0.9135454576,1
378,378,478,478,295,-0.906307787,1
288,288,388,388,296,-0.8987940463,1
198,198,298,298,297,-0.8910065242,1
109,109,209,209,298,-0.8829475929,1
196,196,296,296,299,0.8746197071,-1
282,282,382,382,300,0.8660254038,-1
367,367,467,467,301,0.8571673007,-1
451,451,551,551,302,0.8480480962,-1
534,534,634,634,303,0.8386705679,-1
616,616,716,716,304,0.8290375726,-1
697,697,797,797,305,0.8191520443,-1
777,777,877,877,306,0.8090169944,-1
856,856,956,956,307,0.79863551,-1
934,934,1034,1034,308,0.7880107536,-1
1011,1011,1111,1111,309,0.7771459615,-1
1087,1087,1187,1187,310,0.7660444431,-1
1011,1011,1111,1111,311,-0.7547095802,1
936,936,1036,1036,312,-0.7431448255,1
862,862,962,962,313,-0.7313537016,1
790,790,890,890,314,-0.7193398003,1
719,719,819,819,315,-0.7071067812,1
649,649,749,749,316,-0.6946583705,1
580,580,680,680,317,-0.6819983601,1
513,513,613,613,318,-0.6691306064,1
447,447,547,547,319,-0.656059029,1
382,382,482,482,320,-0.6427876097,1
319,319,419,419,321,-0.629320391,1
257,257,357,357,322,-0.6156614753,1
196,196,296,296,323,-0.6018150232,1
137,137,237,237,324,-0.5877852523,1
194,194,294,294,325,0.5735764364,-1
249,249,349,349,326,0.5591929035,-1
303,303,403,403,327,0.544639035,-1
355,355,455,455,328,0.5299192642,-1
406,406,506,506,329,0.5150380749,-1
456,456,556,556,330,0.5,-1
504,504,604,604,331,0.4848096202,-1
550,550,650,650,332,0.4694715628,-1
595,595,695,695,333,0.4539904997,-1
638,638,738,738,334,0.4383711468,-1
680,680,780,780,335,0.4226182617,-1
720,720,820,820,336,0.4067366431,-1
680,680,780,780,337,-0.3907311285,1
642,642,742,742,338,-0.3746065934,1
606,606,706,706,339,-0.3583679495,1
571,571,671,671,340,-0.3420201433,1
